charge	filename	i	i_norm	i_norm_ms1	ms1scan	mslevel	original_path	precmz	query_index	rt	scan
1	mzmine_results_iimn_gnps.mgf	125140000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	274.1435	0	0	5051
1	mzmine_results_iimn_gnps.mgf	74160000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	274.1434	0	0	5081
1	mzmine_results_iimn_gnps.mgf	106940000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	276.1591	0	0	5179
1	mzmine_results_iimn_gnps.mgf	98180000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	258.1489	0	0	5233
1	mzmine_results_iimn_gnps.mgf	98290000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	274.1436	0	0	5425
1	mzmine_results_iimn_gnps.mgf	70300000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	290.1385	0	0	5431
1	mzmine_results_iimn_gnps.mgf	112360000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	214.1227	0	0	5464
1	mzmine_results_iimn_gnps.mgf	78390000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	232.1333	0	0	5643
1	mzmine_results_iimn_gnps.mgf	114630000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	228.1385	0	0	5663
1	mzmine_results_iimn_gnps.mgf	120860000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	246.1487	0	0	5808
1	mzmine_results_iimn_gnps.mgf	88500000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	246.1486	0	0	5842
1	mzmine_results_iimn_gnps.mgf	119330000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	302.175	0	0	5869
1	mzmine_results_iimn_gnps.mgf	148340000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	242.1538	0	0	5923
1	mzmine_results_iimn_gnps.mgf	149820000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	288.1956	0	0	5940
1	mzmine_results_iimn_gnps.mgf	74840000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	270.1487	0	0	5947
1	mzmine_results_iimn_gnps.mgf	130580000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	272.1645	0	0	6012
1	mzmine_results_iimn_gnps.mgf	66260000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	260.1647	0	0	6038
1	mzmine_results_iimn_gnps.mgf	90580000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	256.1695	0	0	6087
1	mzmine_results_iimn_gnps.mgf	91710000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	256.1696	0	0	6114
1	mzmine_results_iimn_gnps.mgf	96660000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	270.1854	0	0	6123
1	mzmine_results_iimn_gnps.mgf	91940000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	274.1802	0	0	6171
1	mzmine_results_iimn_gnps.mgf	84050000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	286.1803	0	0	6187
1	mzmine_results_iimn_gnps.mgf	75630000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	274.1802	0	0	6208
1	mzmine_results_iimn_gnps.mgf	79980000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	270.1854	0	0	6226
1	mzmine_results_iimn_gnps.mgf	140940000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	270.142	0	0	6242
1	mzmine_results_iimn_gnps.mgf	82400000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	270.1854	0	0	6280
1	mzmine_results_iimn_gnps.mgf	95970000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	286.1804	0	0	6314
1	mzmine_results_iimn_gnps.mgf	165920000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	555.3588	0	0	6344
1	mzmine_results_iimn_gnps.mgf	61740000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	284.201	0	0	6359
1	mzmine_results_iimn_gnps.mgf	82810000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	300.1959	0	0	6379
1	mzmine_results_iimn_gnps.mgf	84910000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	288.196	0	0	6426
1	mzmine_results_iimn_gnps.mgf	70570000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	296.201	0	0	6460
1	mzmine_results_iimn_gnps.mgf	92800000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	284.2009	0	0	6463
1	mzmine_results_iimn_gnps.mgf	82430000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	300.1959	0	0	6464
1	mzmine_results_iimn_gnps.mgf	89860000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	284.2008	0	0	6495
1	mzmine_results_iimn_gnps.mgf	89040000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	302.2115	0	0	6523
1	mzmine_results_iimn_gnps.mgf	188050000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	298.2166	0	0	6526
1	mzmine_results_iimn_gnps.mgf	88290000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	314.2113	0	0	6538
1	mzmine_results_iimn_gnps.mgf	120380000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	302.2116	0	0	6551
1	mzmine_results_iimn_gnps.mgf	95810000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	312.231	0	0	6595
1	mzmine_results_iimn_gnps.mgf	37680000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	299.22	0	0	6608
1	mzmine_results_iimn_gnps.mgf	75450000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	298.2166	0	0	6610
1	mzmine_results_iimn_gnps.mgf	36240000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	328.2271	0	0	6624
1	mzmine_results_iimn_gnps.mgf	152760000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	316.2272	0	0	6665
1	mzmine_results_iimn_gnps.mgf	63740000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	324.2324	0	0	6668
1	mzmine_results_iimn_gnps.mgf	139840000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	342.2426	0	0	6695
1	mzmine_results_iimn_gnps.mgf	43740000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	340.264	0	0	6778
1	mzmine_results_iimn_gnps.mgf	80450000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	326.2478	0	0	6784
1	mzmine_results_iimn_gnps.mgf	80340000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	354.2798	0	0	6875
1	mzmine_results_iimn_gnps.mgf	78900000.0	1.0		0	2	input_spectra/mzmine_results_iimn_gnps.mgf	354.2797	0	0	6894
