structure_inchikey_short,structure,siderophore
BJHIKXHVCXFQLS,http://www.wikidata.org/entity/Q414089,iron chelating agent
DGEZNRSVGBDHLK,http://www.wikidata.org/entity/Q416005,iron chelating agent
QPCDCPDFJACHGM,http://www.wikidata.org/entity/Q416487,iron chelating agent
SIOXPEMLGUPBBT,http://www.wikidata.org/entity/Q416682,iron chelating agent
UBQYURCVBFRUQT,http://www.wikidata.org/entity/Q419618,siderophore|iron chelating agent
SERBHKJMVBATSJ,http://www.wikidata.org/entity/Q523354,siderophore
TZXKOCQBRNJULO,http://www.wikidata.org/entity/Q749664,iron chelating agent
DDIHLFCSEHAOJZ,http://www.wikidata.org/entity/Q1408061,iron chelating agent
CBDQOLKNTOMMTL,http://www.wikidata.org/entity/Q2329715,iron chelating agent
FUWUEFKEXZQKKA,http://www.wikidata.org/entity/Q2705171,iron chelating agent
GLDQAMYCGOIJDV,http://www.wikidata.org/entity/Q2823200,iron chelating agent
KDHHWXGBNUCREU,http://www.wikidata.org/entity/Q2875340,siderophore
BOFQWVMAQOTZIW,http://www.wikidata.org/entity/Q5251502,iron chelating agent
PZZHMLOHNYWKIK,http://www.wikidata.org/entity/Q5322836,iron chelating agent
LLMKLMMXMOTPRU,http://www.wikidata.org/entity/Q27108543,siderophore
NYBZAGXTZXPYND,http://www.wikidata.org/entity/Q27110216,siderophore|iron chelating agent
IDDIJAWJANBQLJ,http://www.wikidata.org/entity/Q27114315,iron chelating agent
JWUOZHTYFQHGAB,http://www.wikidata.org/entity/Q27254831,iron chelating agent
SRMBQCVUAVULDJ,http://www.wikidata.org/entity/Q27259325,iron chelating agent
GBKVAPJMXMGXJK,http://www.wikidata.org/entity/Q27265008,siderophore
IBVJFULICYLKCE,http://www.wikidata.org/entity/Q27268946,iron chelating agent
QTEFVWFZAJKXTR,http://www.wikidata.org/entity/Q27273303,siderophore
XAGUNWDMROKIFJ,http://www.wikidata.org/entity/Q27285308,iron chelating agent
UGJSEILLHZKUBG,http://www.wikidata.org/entity/Q27291146,siderophore
